Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0,0,0.701368393,1
2,0,0,0,0,0.856283854,1
3,0,0,0,0,0.859451401,1
4,0,0,0,0,0.919217062,1
5,0,0,0,0,0.883262191,1
6,0,0,0,0,0.750631845,1
7,0,0,0,0,0.871633752,1
8,0,0,0,0,0.887106724,1
9,0,0,0,0,0.83985917,1
10,0,0,0,0,0.821852491,1
11,0,0,0,0,0.71485369,1
12,0,0,0,0,0.737939431,1
13,0,0,0,0,0.904671647,1
14,0,0,0,0,0.812056202,1
15,0,0,0,0,0.772218334,1
16,0,0,0,0,0.666666667,1
17,0,0,0,0,0.33561351,1
18,0,0,0,0,0.892450879,1
19,0,0,0,0,0.301361753,1
20,0,0,0,0,0.697024346,1
21,0,0,0,0,0.88557377,1
22,0,0,0,0,0.577486911,1
Mean,0,0,0,0,0.758572001,1
