Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.66410077,0.481237323,0,0,0.835974376,0.986473046
2,0.565317036,0.503401361,0,0,0.889749118,0.985027666
3,0.549308756,0.521434821,0,0,0.891128085,0.984806181
4,0.465583174,0.56300578,0,0,0.945372967,0.979089219
5,0.560090703,0.531754575,0,0,0.914961919,0.987030624
6,0.674117647,0.462843296,0,0,0.873831457,0.989720999
7,0.566210046,0.539130435,0,0,0.906295754,0.983788938
8,0.539099526,0.564516129,0,0,0.916935674,0.981294237
9,0.578231293,0.543478261,0,0,0.879040778,0.983686015
10,0.585903084,0.452894438,0,0,0.872991652,0.986209694
11,0.668882979,0.510141988,0,0,0.858745443,0.98987069
12,0.652116402,0.473583093,0,0,0.86310697,0.986180776
13,0.469835466,0.561135371,0,0,0.932090546,0.980392157
14,0.631016043,0.512301013,0,0,0.870881686,0.986999244
15,0.625468165,0.477142857,0,0,0.830570609,0.983393093
16,0.652573529,0.540334855,0,0,0.735438778,0.967972743
17,0.756385069,0.329905741,0,0,0.380888889,0.923491379
18,0.430084746,0.560773481,0,0,0.923510228,0.974350954
19,0.712195122,0.307045216,0,0,0.341666667,0.8528
20,0.622166247,0.516736402,0,0,0.821971253,0.983779798
21,0.523404255,0.6,0,0,0.916977296,0.978661844
22,0.667808219,0.515873016,0,0,0.642151482,0.966942149
Mean,0.598177194,0.503121339,0,0,0.820194619,0.97372552
