Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.3374949657672171,0.7373515178178619,0.23394495412844038,0.021711366538952746,0.8800470758645663,0.8374396967608546
2,0.1342039018250472,0.7775752051048314,0.12394366197183099,0.028241335044929396,0.9614562504309453,0.751333584783663
3,0.20037062775075284,0.7412167952013711,0.18292682926829268,0.027539779681762546,0.9425342247691818,0.8266089627251152
4,0.05386197867963344,0.7598944591029023,0.09302325581395349,0.03785488958990536,0.987012987012987,0.7350750416898277
5,0.15555053131358806,0.7041965199590583,0.1950207468879668,0.03032258064516129,0.9383801153010113,0.7807045132882529
6,0.2583810302534751,0.7523809523809524,0.19135802469135801,0.0220014194464159,0.9326070901033974,0.8422544605636152
7,0.21572700296735906,0.7106549364613881,0.20707070707070707,0.0352233676975945,0.9390760990850257,0.8136904186406265
8,0.2028985507246377,0.7191780821917808,0.22282608695652173,0.03546712802768166,0.9415507895357059,0.8200759519655137
9,0.3290909090909091,0.6875593542260209,0.17592592592592593,0.0173992673992674,0.8873169107856191,0.8638794360719494
10,0.23030506201810258,0.693239152371342,0.14594594594594595,0.02323580034423408,0.9137834036568214,0.7996307692307693
11,0.38522081329252295,0.7233169129720853,0.21,0.01744186046511628,0.8816516429194533,0.886161040479322
12,0.35672997522708505,0.7081967213114754,0.21333333333333335,0.012298232129131437,0.8716245487364621,0.8746558469786987
13,0.05787671232876712,0.7544642857142857,0.09580838323353294,0.04071246819338423,0.980976769709164,0.6756961068413758
14,0.2316715542521994,0.728110599078341,0.25190839694656486,0.04114713216957606,0.9236453201970444,0.8041458184417442
15,0.3146779303062302,0.7294981640146879,0.24468085106382978,0.02631578947368421,0.862838026205743,0.7968589083419155
16,0.44367088607594934,0.7505353319057816,0.15873015873015872,0.01579778830963665,0.8614290133003403,0.8416440012088244
17,0.5811764705882353,0.7682737169517885,0.1276595744680851,0.00702576112412178,0.7477570738440303,0.8650698602794411
18,0.11344327836081959,0.7591973244147158,0.08571428571428572,0.017045454545454544,0.9619985925404645,0.7399855647780584
19,0.7013274336283186,0.7725426482534524,0.15384615384615385,0.01488833746898263,0.7526395173453997,0.8554285714285714
20,0.38396624472573837,0.728,0.19298245614035087,0.017828200972447326,0.8488938882639671,0.8488938882639671
21,0.1555793991416309,0.7923497267759563,0.2153846153846154,0.04946996466431095,0.9454949944382648,0.7299270072992701
22,0.43419689119170984,0.8231827111984283,0.26666666666666666,0.026936026936026935,0.8721207307386815,0.7582872928176796
