Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.1530127990029241,1.0,0.0,0.0,1.0,6.559527714004592e-05
2,0.13074570477646846,1.0,0.0,0.0,0.0,0.0
3,0.1132984071545748,1.0,0.0,0.0,0.0,0.0
4,0.07805170176664337,1.0,0.0,0.0,0.0,0.0
5,0.11366081032628182,1.0,0.0,0.0,0.0,0.0
6,0.11746275715299125,1.0,0.0,0.0,0.0,0.0
7,0.1356431477065507,1.0,0.0,0.0,0.0,0.0
8,0.12806244686606383,1.0,0.0,0.0,0.0,0.0
9,0.15294782444904878,1.0,0.0,0.0,0.0,0.0
10,0.15409185082872928,1.0,0.0,0.0,0.0,0.0
11,0.14348584239807358,1.0,0.0,0.0,0.0,0.0
12,0.1679835108210237,1.0,0.0,0.0,0.0,0.0
13,0.08497899159663866,1.0,0.0,0.0,0.0,0.0
14,0.14919151086407276,1.0,0.0,0.0,0.0,0.0
15,0.1885281075668717,1.0,0.0,0.0,0.0,0.0
16,0.18467583497053044,1.0,0.0,0.0,0.0,0.0
17,0.2604166666666667,1.0,0.0,0.0,0.0,0.0
18,0.093361285814116,1.0,0.0,0.0,0.0,0.0
19,0.28340967934674366,1.0,0.0,0.0,0.0,0.0
20,0.21272960273387442,1.0,0.0,0.0,0.0,0.0
21,0.09709567198177677,1.0,0.0,0.0,0.0,0.0
22,0.2101141924959217,1.0,0.0,0.0,0.0,0.0
