Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.08542316102917229,0.9994556341861731,0.0,0.0,0.0,0.0
2,0.06282613233145481,1.0,0.0,0.0,0.0,0.0
3,0.06239064140378943,0.9984,0.0,0.0,0.0,0.0
4,0.047201315855056575,0.9978925184404637,0.0,0.0,0.0,0.0
5,0.05700397702165267,1.0,0.0,0.0,0.0,0.0
6,0.07137068765918037,1.0,0.0,0.0,0.0,0.0
7,0.06582895723930983,1.0,0.0,0.0,0.0,0.0
8,0.052056427577985294,1.0,0.0,0.0,0.0,0.0
9,0.06914212548015365,1.0,0.0,0.0,0.0,0.0
10,0.07807072939690558,1.0,0.0,0.0,0.0,0.0
11,0.07606195368808465,1.0,0.0,0.0,0.0,0.0
12,0.08200094981795156,1.0,0.0,0.0,0.0,0.0
13,0.04883812524615991,1.0,0.0,0.0,0.0,0.0
14,0.08064703828697778,0.9985590778097982,0.0,0.0,0.0,0.0
15,0.08573655494933749,1.0,0.0,0.0,0.0,0.0
16,0.10652771746996671,1.0,0.0,0.0,0.0,0.0
17,0.11674459380479252,1.0,0.0,0.0,0.0,0.0
18,0.05857363542739444,0.9956236323851203,0.0,0.0,0.0,0.0
19,0.16706237858838766,1.0,0.0,0.0,0.0,0.0
20,0.10569594865623747,1.0,0.0,0.0,0.0,0.0
21,0.06455331412103746,1.0,0.0,0.0,0.0,0.0
22,0.12434036939313985,1.0,0.0,0.0,0.0,0.0
