Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.8278339689382634,1.0
2,0.0,0.0,0.0,0.0,0.880368690280861,1.0
3,0.0,0.0,0.0,0.0,0.9012244897959184,1.0
4,0.0,0.0,0.0,0.0,0.9346348360432868,1.0
5,0.0,0.0,0.0,0.0,0.8984910005454215,1.0
6,0.0,0.0,0.0,0.0,0.8676718199908159,1.0
7,0.0,0.0,0.0,0.0,0.8770781227011917,1.0
8,0.0,0.0,0.0,0.0,0.8989280245022971,1.0
9,0.0,0.0,0.0,0.0,0.8473967684021544,1.0
10,0.0,0.0,0.0,0.0,0.8591425301523021,1.0
11,0.0,0.0,0.0,0.0,0.8332730887402856,1.0
12,0.0,0.0,0.0,0.0,0.8587229296403012,1.0
13,0.0,0.0,0.0,0.0,0.9239201215541567,1.0
14,0.0,0.0,0.0,0.0,0.8521460423634337,1.0
15,0.0,0.0,0.0,0.0,0.8463797914524893,1.0
16,0.0,0.0,0.0,0.0,0.7531716417910448,1.0
17,0.0,0.0,0.0,0.0,0.7073647196718109,1.0
18,0.0,0.0,0.0,0.0,0.8871942446043165,1.0
19,0.0,0.0,0.0,0.0,0.5741687979539642,1.0
20,0.0,0.0,0.0,0.0,0.7546376453128865,1.0
21,0.0,0.0,0.0,0.0,0.8788487282463187,1.0
22,0.0,0.0,0.0,0.0,0.6516323024054983,1.0
