Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.8291493675774838,0.9999417792268281
2,0.0,0.0,0.0,0.0,0.8811734282928484,1.0
3,0.0,0.0,0.0,0.0,0.9026281144863231,1.0
4,0.0,0.0,0.0,0.0,0.9338031591737546,1.0
5,0.0,0.0,0.0,0.0,0.8977364810112906,1.0
6,0.0,0.0,0.0,0.0,0.870687618147448,1.0
7,0.0,0.0,0.0,0.0,0.8776261504284354,1.0
8,0.0,0.0,0.0,0.0,0.9014020215194001,0.9999276620370371
9,0.0,0.0,0.0,0.0,0.8515073212747631,1.0
10,0.0,0.0,0.0,0.0,0.8580140734949179,1.0
11,0.0,0.0,0.0,0.0,0.836447864321608,1.0
12,0.0,0.0,0.0,0.0,0.8555428384565075,1.0
13,0.0,0.0,0.0,0.0,0.9261913986826811,1.0
14,0.0,0.0,0.0,0.0,0.8558128431606589,1.0
15,0.0,0.0,0.0,0.0,0.8461045617631984,1.0
16,0.0,0.0,0.0,0.0,0.7657369303459839,1.0
17,0.0,0.0,0.0,0.0,0.7124193548387097,1.0
18,0.0,0.0,0.0,0.0,0.8919023136246786,1.0
19,0.0,0.0,0.0,0.0,0.6334036074022019,1.0
20,0.0,0.0,0.0,0.0,0.7581165340786927,1.0
21,0.0,0.0,0.0,0.0,0.8827178729689807,1.0
22,0.0,0.0,0.0,0.0,0.6697443181818182,1.0
