Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.7916272788656313,1.0
2,0.0,0.0,0.0,0.0,0.8558035714285714,1.0
3,0.0,0.0,0.0,0.0,0.8535129267811328,1.0
4,0.0,0.0,0.0,0.0,0.9152397260273972,1.0
5,0.0,0.0,0.0,0.0,0.8814943618927179,1.0
6,0.0,0.0,0.0,0.0,0.840300768755962,1.0
7,0.0,0.0,0.0,0.0,0.8683653089632634,1.0
8,0.0,0.0,0.0,0.0,0.8810955680481108,1.0
9,0.0,0.0,0.0,0.0,0.8343840517975805,1.0
10,0.0,0.0,0.0,0.0,0.8394366197183099,1.0
11,0.0,0.0,0.0,0.0,0.8171147292692162,1.0
12,0.0,0.0,0.0,0.0,0.8218445535125631,1.0
13,0.0,0.0,0.0,0.0,0.899379932356257,1.0
14,0.0,0.0,0.0,0.0,0.8303905831995719,1.0
15,0.0,0.0,0.0,0.0,0.7955199599549493,1.0
16,0.0,0.0,0.0,0.0,0.7875692307692308,1.0
17,0.0,0.0,0.0,0.0,0.6434279415817029,1.0
18,0.0,0.0,0.0,0.0,0.8935081148564294,1.0
19,0.0,0.0,0.0,0.0,0.6535095246267376,1.0
20,0.0,0.0,0.0,0.0,0.7783530983798229,1.0
21,0.0,0.0,0.0,0.0,0.8790450928381963,1.0
22,0.0,0.0,0.0,0.0,0.6818046011353451,1.0
