Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0,0,0.614758026,1
2,0,0,0,0,0.76694544,1
3,0,0,0,0,0.789919455,1
4,0,0,0,0,0.838333792,1
5,0,0,0,0,0.778406519,1
6,0,0,0,0,0.736952909,1
7,0,0,0,0,0.722783761,1
8,0,0,0,0,0.77590812,1
9,0,0,0,0,0.660621118,1
10,0,0,0,0,0.703508174,1
11,0,0,0,0,0.598438644,1
12,0,0,0,0,0.691483254,1
13,0,0,0,0,0.900779589,1
14,0,0,0,0,0.723486573,1
15,0,0,0,0,0.679981421,1
16,0,0,0,0,0.561643836,1
17,0,0,0,0,0.385532265,1
18,0,0,0,0,0.805488782,1
19,0,0,0,0,0.30149413,1
20,0,0,0,0,0.56675063,1
21,0,0,0,0,0.840214477,1
22,0,0,0,0,0.441985245,1
Mean,0,0,0,0,0.676609825,1
