Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.7545001084363478,1.0
2,0.0,0.0,0.0,0.0,0.8208311914271027,1.0
3,0.0,0.0,0.0,0.0,0.8238984674329501,1.0
4,0.0,0.0,0.0,0.0,0.8712966990478952,1.0
5,0.0,0.0,0.0,0.0,0.834928481278923,1.0
6,0.0,0.0,0.0,0.0,0.8052306334142574,1.0
7,0.0,0.0,0.0,0.0,0.8143228065938047,1.0
8,0.0,0.0,0.0,0.0,0.832517076942905,1.0
9,0.0,0.0,0.0,0.0,0.79058157916632,1.0
10,0.0,0.0,0.0,0.0,0.7891705069124424,1.0
11,0.0,0.0,0.0,0.0,0.7755823177327468,1.0
12,0.0,0.0,0.0,0.0,0.7920282394469775,1.0
13,0.0,0.0,0.0,0.0,0.9106229880704412,1.0
14,0.0,0.0,0.0,0.0,0.8013587835651893,1.0
15,0.0,0.0,0.0,0.0,0.7440289505428227,1.0
16,0.0,0.0,0.0,0.0,0.7401286741516336,1.0
17,0.0,0.0,0.0,0.0,0.6381743833267379,1.0
18,0.0,0.0,0.0,0.0,0.8355046876902472,1.0
19,0.0,0.0,0.0,0.0,0.572562358276644,1.0
20,0.0,0.0,0.0,0.0,0.7326176713459951,1.0
21,0.0,0.0,0.0,0.0,0.882306477093207,1.0
22,0.0,0.0,0.0,0.0,0.5804107424960505,1.0
