Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.09546981310825942,1.0,0.0,0.0,1.0,0.00011634671320535195
2,0.050235539423893735,1.0,0.0,0.0,0.0,0.0
3,0.05085301837270341,1.0,0.0,0.0,0.0,0.0
4,0.038776286992102005,1.0,0.0,0.0,0.0,0.0
5,0.047880529611002774,1.0,0.0,0.0,0.0,0.0
6,0.0735826296743064,1.0,0.0,0.0,0.0,0.0
7,0.07161309702613397,1.0,0.0,0.0,0.0,0.0
8,0.045937065588272465,1.0,0.0,0.0,0.0,0.0
9,0.0793058709049627,1.0,0.0,0.0,0.0,0.0
10,0.07081807081807082,1.0,0.0,0.0,0.0,0.0
11,0.09269419578400231,1.0,0.0,0.0,0.0,0.0
12,0.0822659737978482,1.0,0.0,0.0,0.0,0.0
13,0.037229519039969766,1.0,0.0,0.0,0.0,0.0
14,0.07828687386521414,1.0,0.0,0.0,0.0,0.0
15,0.09213963429114225,1.0,0.0,0.0,0.0,0.0
16,0.11318860584765968,1.0,0.0,0.0,0.0,0.0
17,0.17071229606048546,1.0,0.0,0.0,0.0,0.0
18,0.03796861899628698,1.0,0.0,0.0,0.0,0.0
19,0.2943871706758305,1.0,0.0,0.0,0.0,0.0
20,0.10467228000660393,1.0,0.0,0.0,0.0,0.0
21,0.04498816101026046,1.0,0.0,0.0,0.0,0.0
22,0.16507936507936508,1.0,0.0,0.0,0.0,0.0
