Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.333831962,0.725745257,0.291139241,0.032872797,0.787678106,0.742386987
2,0.238541667,0.749590835,0.384615385,0.038781163,0.88729128,0.768993702
3,0.228721758,0.707177033,0.46969697,0.055192878,0.866948664,0.764237288
4,0.143225806,0.735099338,0.469945355,0.073253833,0.962901255,0.824990483
5,0.22603219,0.713024283,0.436619718,0.038557214,0.8795404,0.806868412
6,0.26958042,0.752929688,0.423357664,0.040701754,0.859012629,0.763002244
7,0.261982128,0.715871254,0.350993377,0.046491228,0.855053191,0.742151431
8,0.250563317,0.710997442,0.389312977,0.043183743,0.856663873,0.773071104
9,0.321082185,0.730545877,0.344262295,0.038356164,0.803864382,0.768828452
10,0.285503686,0.705097087,0.390410959,0.04822335,0.809121622,0.763955343
11,0.33912635,0.741273101,0.31092437,0.034482759,0.786853364,0.72979798
12,0.31600736,0.74673913,0.37,0.031814273,0.786748733,0.735861835
13,0.172778561,0.655080214,0.425742574,0.068253968,0.945915869,0.848642173
14,0.287148594,0.718592965,0.32038835,0.042690815,0.845800826,0.766001663
15,0.36878453,0.72851296,0.336842105,0.037514654,0.749858196,0.768604651
16,0.472030651,0.755828221,0.235955056,0.033925687,0.758096497,0.77868296
17,0.501303781,0.743713733,0.179104478,0.015645372,0.614501077,0.71751886
18,0.205757832,0.731927711,0.459459459,0.051987768,0.883564926,0.782682513
19,0.586799277,0.703904555,0.162790698,0.02,0.535195531,0.620466321
20,0.408910891,0.727112676,0.186440678,0.019784173,0.71957672,0.756255792
21,0.29264214,0.741525424,0.446808511,0.061583578,0.868586859,0.818490246
22,0.457783641,0.736730361,0.387755102,0.056547619,0.769319493,0.769319493
Mean,0.316733579,0.726228143,0.353298424,0.042265672,0.810549704,0.764127724
