Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.264270613,0.122428991,0,0,0.610565593,0.93672793
2,0.152777778,0.123397436,0,0,0.748582566,0.932465239
3,0.180878553,0.12567325,0,0,0.713421223,0.939920273
4,0.077319588,0.096774194,0,0,0.854059791,0.941314096
5,0.156351792,0.093567251,0,0,0.702361078,0.946336761
6,0.168711656,0.103773585,0,0,0.709645177,0.936675462
7,0.188191882,0.103030303,0,0,0.713107511,0.940194175
8,0.1953125,0.123762376,0,0,0.699747155,0.94212766
9,0.259109312,0.138828633,0,0,0.637959184,0.928147268
10,0.231441048,0.109053498,0,0,0.646806993,0.946242171
11,0.287356322,0.136861314,0,0,0.618242001,0.941209406
12,0.228782288,0.121330724,0,0,0.628481894,0.940104167
13,0.097701149,0.080188679,0,0,0.82716493,0.950846758
14,0.206896552,0.091743119,0,0,0.666499247,0.949213162
15,0.26984127,0.122596154,0,0,0.531939605,0.929006085
16,0.346666667,0.118181818,0,0,0.526203966,0.936948298
17,0.465517241,0.132786885,0,0,0.444192635,0.941176471
18,0.152777778,0.124293785,0,0,0.730858469,0.935412027
19,0.611111111,0.1281198,0,0,0.421630094,0.952212389
20,0.37755102,0.117088608,0,0,0.536644951,0.962043796
21,0.23880597,0.136752137,0,0,0.678614098,0.953020134
22,0.45,0.179282869,0,0,0.604284104,0.935427574
Mean,0.25488055,0.119523428,0,0,0.647773285,0.941671423
