Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.7217607560308381,1.0
2,0.0,0.0,0.0,0.0,0.8234784402723334,1.0
3,0.0,0.0,0.0,0.0,0.8107023071450351,1.0
4,0.0,0.0,0.0,0.0,0.8844410147583679,1.0
5,0.0,0.0,0.0,0.0,0.8007612017761375,1.0
6,0.0,0.0,0.0,0.0,0.7962679538497763,1.0
7,0.0,0.0,0.0,0.0,0.8013994649104754,1.0
8,0.0,0.0,0.0,0.0,0.802491103202847,1.0
9,0.0,0.0,0.0,0.0,0.7659229938826916,1.0
10,0.0,0.0,0.0,0.0,0.768040370058873,1.0
11,0.0,0.0,0.0,0.0,0.7651644336175396,1.0
12,0.0,0.0,0.0,0.0,0.7451331967213115,1.0
13,0.0,0.0,0.0,0.0,0.8574670412794467,1.0
14,0.0,0.0,0.0,0.0,0.7686631410650596,1.0
15,0.0,0.0,0.0,0.0,0.6931899641577061,1.0
16,0.0,0.0,0.0,0.0,0.7081591577643598,1.0
17,0.0,0.0,0.0,0.0,0.5969745222929936,1.0
18,0.0,0.0,0.0,0.0,0.8075371992768738,1.0
19,0.0,0.0,0.0,0.0,0.617940876656473,1.0
20,0.0,0.0,0.0,0.0,0.694070351758794,1.0
21,0.0,0.0,0.0,0.0,0.7610101632275947,1.0
22,0.0,0.0,0.0,0.0,0.6363636363636364,1.0
