Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.459127625,0.626267078,0.25,0.000880282,0.802225727,0.917886505
2,0.273625288,0.73409894,0.428571429,0.00384369,0.936188811,0.918229557
3,0.348237317,0.692899914,0.666666667,0.002427184,0.90327964,0.936226216
4,0.139804096,0.801020408,0.333333333,0.006269592,0.974124443,0.907094027
5,0.299212598,0.655837563,0.4,0.001279591,0.900337566,0.929009786
6,0.400695134,0.630961689,0.4,0.002834869,0.885430177,0.939535737
7,0.386808273,0.645522388,0.4,0.003358522,0.892336671,0.935363192
8,0.354936402,0.648947951,0.142857143,0.000887311,0.900115656,0.936754568
9,0.46637744,0.623791103,0.25,0.000910747,0.813621876,0.929831288
10,0.391595615,0.624878523,0.416666667,0.004366812,0.867505551,0.926970736
11,0.511461318,0.59253112,0.166666667,0.000848176,0.801384291,0.940324859
12,0.498284146,0.601491301,0.428571429,0.002459016,0.806738905,0.941288535
13,0.141860465,0.768907563,0.142857143,0.002617801,0.967875362,0.885245902
14,0.396959459,0.701492537,0.4,0.00250941,0.878892107,0.925467022
15,0.465254237,0.671149144,0.428571429,0.003492433,0.799013564,0.908835905
16,0.572134387,0.624595469,0.333333333,0.003159558,0.78141136,0.925271739
17,0.64638448,0.574001566,0,0,0.647003155,0.920556553
18,0.232217573,0.730263158,0.5,0.005555556,0.934504208,0.914756447
19,0.74919268,0.567699837,0,0,0.65344027,0.913274336
20,0.505050505,0.618238022,0,0,0.764317181,0.919611307
21,0.266260163,0.682291667,0.5,0.006944444,0.914665523,0.908432709
22,0.535,0.623300971,0,0,0.756756757,0.877675841
Mean,0.410930873,0.656372178,0.299458874,0.002483863,0.844598582,0.920801944
