Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0,0,0.694614913,1
2,0,0,0,0,0.873227096,1
3,0,0,0,0,0.840804824,1
4,0,0,0,0,0.947530346,1
5,0,0,0,0,0.837927551,1
6,0,0,0,0,0.814826303,1
7,0,0,0,0,0.824813584,1
8,0,0,0,0,0.831094411,1
9,0,0,0,0,0.709923664,1
10,0,0,0,0,0.796114409,1
11,0,0,0,0,0.648958701,1
12,0,0,0,0,0.705010776,1
13,0,0,0,0,0.932425743,1
14,0,0,0,0,0.79856,1
15,0,0,0,0,0.688681249,1
16,0,0,0,0,0.607132417,1
17,0,0,0,0,0.410464738,1
18,0,0,0,0,0.870668533,1
19,0,0,0,0,0.352798054,1
20,0,0,0,0,0.603150788,1
21,0,0,0,0,0.837648993,1
22,0,0,0,0,0.612654321,1
Mean,0,0,0,0,0.738137791,1
