Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.7335166233898478,1.0
2,0.0,0.0,0.0,0.0,0.8753467191057752,1.0
3,0.0,0.0,0.0,0.0,0.8428498985801217,1.0
4,0.0,0.0,0.0,0.0,0.9473584548380989,1.0
5,0.0,0.0,0.0,0.0,0.8396089157888611,1.0
6,0.0,0.0,0.0,0.0,0.8256619868491203,1.0
7,0.0,0.0,0.0,0.0,0.8294831772459244,1.0
8,0.0,0.0,0.0,0.0,0.835848774656306,1.0
9,0.0,0.0,0.0,0.0,0.7704173369925239,0.9997543902738548
10,0.0,0.0,0.0,0.0,0.7980186181569733,1.0
11,0.0,0.0,0.0,0.0,0.7718624833110814,1.0
12,0.0,0.0,0.0,0.0,0.7506798842003685,1.0
13,0.0,0.0,0.0,0.0,0.9292242295430393,0.9998856489422527
14,0.0,0.0,0.0,0.0,0.8034071126585427,1.0
15,0.0,0.0,0.0,0.0,0.7191445121045597,1.0
16,0.0,0.0,0.0,0.0,0.7165023436237272,1.0
17,0.0,0.0,0.0,0.0,0.590468364831553,1.0
18,0.0,0.0,0.0,0.0,0.8727728285077951,1.0
19,0.0,0.0,0.0,0.0,0.5985871597756077,1.0
20,0.0,0.0,0.0,0.0,0.7010647010647011,1.0
21,0.0,0.0,0.0,0.0,0.83375,1.0
22,0.0,0.0,0.0,0.0,0.6671619613670133,1.0
