Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.344827586,0.016708438,0.466020761,0.948717949,0.946261196,0.619106023
2,0.253521127,0.020881671,0.426332288,0.96,0.967193907,0.576869322
3,0.315789474,0.024657534,0.430601093,0.961645746,0.967155009,0.576803833
4,0.162162162,0.011049724,0.358546656,0.987716106,0.980231766,0.298464093
5,0.152173913,0.011235955,0.412130376,0.973412698,0.974070283,0.493432423
6,0.26,0.017173052,0.417107584,0.966489579,0.970364098,0.567420366
7,0.188679245,0.017391304,0.386164956,0.966698382,0.968132311,0.469024819
8,0.243902439,0.019762846,0.402426048,0.972236504,0.971346705,0.50147929
9,0.233333333,0.015021459,0.424533064,0.971692663,0.969617601,0.499730022
10,0.24137931,0.013035382,0.466949953,0.9560174,0.958696354,0.624422026
11,0.27027027,0.014836795,0.462155388,0.9470981,0.955684597,0.668448055
12,0.483870968,0.023112481,0.422793182,0.957373272,0.965486194,0.65532695
13,0,0,0.335869565,0.984076433,0.969924812,0.055364807
14,0.227272727,0.013927577,0.42488003,0.977079796,0.967080745,0.555278174
15,0.277777778,0.012376238,0.485509717,0.97068848,0.953898305,0.550684932
16,0.217391304,0.012987013,0.430561418,0.950605778,0.962273161,0.665455746
17,0.444444444,0.015238095,0.494304312,0.93605547,0.933598184,0.68115942
18,0.111111111,0.008298755,0.385148919,0.970195272,0.971869328,0.454391175
19,0.307692308,0.008403361,0.388235294,0.870967742,0.902564103,0.704
20,0.357142857,0.015923567,0.448588173,0.949267193,0.947368421,0.614365767
21,0.1,0.008,0.35960961,0.979550102,0.947916667,0.110436893
22,0.2,0.009661836,0.544494721,0.975675676,0.95,0.543454345
Mean,0.245124653,0.014076504,0.426043778,0.960602743,0.959124261,0.52205084
