Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0.409514468,0.93018938,0.728540773,0.186897881
2,0,0,0.351643471,0.942834458,0.823529412,0.188116733
3,0,0,0.342231714,0.931234867,0.790697674,0.1889366
4,0,0,0.302624232,0.928082192,0.861733931,0.254132687
5,0,0,0.348075025,0.935774947,0.819895288,0.212656165
6,0,0,0.356142132,0.935466667,0.779204108,0.182008996
7,0,0,0.332743363,0.930693069,0.793491865,0.191482936
8,0,0,0.33866601,0.942465753,0.842105263,0.213049268
9,0,0,0.361812101,0.944444444,0.8,0.19477645
10,0,0,0.386506419,0.931533904,0.779411765,0.198254364
11,0,0,0.381828805,0.94368231,0.759753593,0.175106484
12,0,0,0.346567164,0.9288,0.762376238,0.200869565
13,0,0,0.279988124,0.934588702,0.86461126,0.223958333
14,0,0,0.344904317,0.935990338,0.792079208,0.202659911
15,0,0,0.403959562,0.93927522,0.75297619,0.17754386
16,0,0,0.339786042,0.91369863,0.761006289,0.181954887
17,0,0,0.438053097,0.929092805,0.632653061,0.152559055
18,0,0,0.332874828,0.929577465,0.818181818,0.210202827
19,0,0,0.357201646,0.945533769,0.693430657,0.149842271
20,0,0,0.362301102,0.942675159,0.820689655,0.217550274
21,0,0,0.317757009,0.946835443,0.859437751,0.228144989
22,0,0,0.482160077,0.950570342,0.688,0.171656687
Mean,0,0,0.359879123,0.936047267,0.782900264,0.195561874
