Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.617021277,0.017058824,0.502659574,0.426347846,0.791090434,0.928769173
2,0.666666667,0.046332046,0.462297779,0.444268775,0.875329607,0.917472777
3,0.625,0.059171598,0.444444444,0.436363636,0.875735939,0.914035432
4,0.734693878,0.067164179,0.407875186,0.498864153,0.920967248,0.920741783
5,0.696969697,0.039249147,0.451780712,0.42252994,0.880024695,0.926147849
6,0.8,0.046715328,0.426142803,0.421052632,0.870142391,0.916139611
7,0.84375,0.05075188,0.426133812,0.421216156,0.882199984,0.920345253
8,0.476190476,0.022026432,0.444660194,0.449239823,0.891541783,0.923765243
9,0.475,0.041942605,0.449001052,0.465395095,0.869353718,0.905646718
10,0.904761905,0.023959647,0.511446663,0.440436242,0.823202715,0.928538283
11,0.814814815,0.024663677,0.498007968,0.417536534,0.816247186,0.936165219
12,0.866666667,0.029147982,0.462293388,0.423568386,0.837246639,0.934692506
13,0.75,0.08203125,0.428288169,0.523002421,0.915416098,0.910223209
14,0.851851852,0.061662198,0.448776758,0.449464012,0.877621872,0.923580454
15,0.615384615,0.013605442,0.522585129,0.444707274,0.775600739,0.915557495
16,0.75,0.040697674,0.454617206,0.450704225,0.841760962,0.923211169
17,0.5,0.002710027,0.46572104,0.377153797,0.707512597,0.926514697
18,0.666666667,0.057692308,0.434420015,0.527624309,0.906153596,0.899871009
19,1,0.001582278,0.312636166,0.326879271,0.684769776,0.892307692
20,0.888888889,0.018735363,0.483838384,0.455756422,0.80744888,0.914025902
21,0.769230769,0.090909091,0.383333333,0.511111111,0.900978916,0.88335179
22,0.7,0.025179856,0.577205882,0.520441989,0.717894737,0.883992223
Mean,0.727889008,0.039226765,0.454462075,0.447893821,0.839465478,0.915686159
