Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0.492753623,0.033243706,0.703084762,0.992727835
2,0,0,0.407142857,0.049522155,0.813533403,0.98775747
3,0,0,0.42,0.050446122,0.813983648,0.987684729
4,0,0,0.301369863,0.064705882,0.871065209,0.982464837
5,0,0,0.435424354,0.047446723,0.820281441,0.990777439
6,0,0,0.378289474,0.045798487,0.80362173,0.986578839
7,0,0,0.355555556,0.045155221,0.820509112,0.986437141
8,0,0,0.357843137,0.038954109,0.832001844,0.98913242
9,0,0,0.407407407,0.051795174,0.793427715,0.985243167
10,0,0,0.492424242,0.029707495,0.74406356,0.993918435
11,0,0,0.472972973,0.032392411,0.743831314,0.994004796
12,0,0,0.387096774,0.03164557,0.769789912,0.992343732
13,0,0,0.296943231,0.058874459,0.858392564,0.98075962
14,0,0,0.464,0.048739496,0.812573674,0.991371045
15,0,0,0.53030303,0.044929397,0.685429949,0.990116801
16,0,0,0.455555556,0.036412078,0.762338063,0.994367331
17,0,0,0.52688172,0.033515732,0.59909998,0.993510707
18,0,0,0.356097561,0.074186992,0.844111833,0.980160682
19,0,0,0.301886792,0.020330368,0.518420053,0.988414193
20,0,0,0.452380952,0.039460021,0.731374172,0.990748528
21,0,0,0.29,0.067915691,0.844033722,0.97673546
22,0,0,0.71875,0.056441718,0.596780684,0.990647963
Mean,0,0,0.422776323,0.045528137,0.762806743,0.988450144
