Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.632543103,0.333522727,0.415900579,0.868467828,0.936529243,0.656098872
2,0.587261146,0.330940416,0.364947552,0.903679654,0.961038961,0.608219178
3,0.599358974,0.338461538,0.293205983,0.89592511,0.963989442,0.597592333
4,0.502118644,0.316,0.209440092,0.904290429,0.984160139,0.595910624
5,0.581349206,0.310710498,0.305291443,0.895151515,0.965269693,0.629507782
6,0.617590822,0.299907149,0.320754717,0.901279707,0.967106642,0.642092085
7,0.578842315,0.286278381,0.317422996,0.890501319,0.952247191,0.626135139
8,0.549528302,0.301423027,0.316535832,0.890947969,0.962259615,0.629699544
9,0.610837438,0.325886991,0.42305296,0.900530504,0.956134094,0.645868465
10,0.61407767,0.287827076,0.446819882,0.898441698,0.934855608,0.633879781
11,0.677852349,0.308240081,0.437359821,0.877249357,0.940321115,0.716859122
12,0.675,0.400684932,0.35351014,0.86953185,0.952907801,0.662394005
13,0.494915254,0.345971564,0.22566501,0.910377358,0.976110846,0.450099141
14,0.614197531,0.334453782,0.378247468,0.886480908,0.959983994,0.679603399
15,0.613003096,0.302752294,0.443087658,0.88966725,0.921166977,0.610448375
16,0.744623656,0.378932969,0.515184981,0.863089732,0.907932831,0.747378456
17,0.74516129,0.243928194,0.49408284,0.818627451,0.743723849,0.633125557
18,0.54,0.27480916,0.302678571,0.921195652,0.96749226,0.577100646
19,0.713375796,0.135102533,0.352498289,0.76183432,0.522077922,0.403614458
20,0.647540984,0.309803922,0.5,0.876299376,0.891428571,0.620689655
21,0.5,0.2760181,0.346499102,0.887356322,0.971032746,0.561135371
22,0.69035533,0.311926606,0.616840114,0.870493992,0.771830986,0.646226415
Mean,0.614978769,0.306980997,0.38086482,0.880973605,0.914072751,0.616985382
