Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.256774194,0.176262179,0.329820211,0.766202592,0.685549133,0.181512091
2,0.181360202,0.144,0.271264368,0.758842444,0.7433281,0.190122465
3,0.188821752,0.162760417,0.226361612,0.764183185,0.800190295,0.190228455
4,0.136738056,0.155430712,0.149349264,0.720164609,0.837338262,0.186036961
5,0.145557656,0.133913043,0.235855487,0.771173848,0.799790356,0.192530911
6,0.162313433,0.12,0.236730625,0.760608487,0.763358779,0.178518298
7,0.182,0.143533123,0.230413493,0.736521739,0.751968504,0.181674065
8,0.170431211,0.16023166,0.252226372,0.770175439,0.789750329,0.195701726
9,0.190217391,0.132075472,0.318587361,0.765862377,0.710820896,0.195886889
10,0.172786177,0.131578947,0.354594253,0.741743725,0.631656805,0.195512821
11,0.233595801,0.137984496,0.354950115,0.76320132,0.583908046,0.162300319
12,0.184914842,0.136200717,0.264450867,0.741641337,0.680555556,0.177375566
13,0.125925926,0.150887574,0.171048253,0.735336195,0.862068966,0.207866965
14,0.23828125,0.157216495,0.294086589,0.73872679,0.676258993,0.197894737
15,0.183050847,0.127058824,0.349131122,0.732596685,0.600566572,0.17419885
16,0.274509804,0.156950673,0.408813559,0.72826087,0.468992248,0.169467787
17,0.388316151,0.172519084,0.442489001,0.747346072,0.279069767,0.12
18,0.114814815,0.112318841,0.230964467,0.742251223,0.811494253,0.197648376
19,0.522727273,0.156729131,0.368007851,0.757575758,0.173228346,0.091666667
20,0.235023041,0.140883978,0.405968078,0.757772021,0.569672131,0.180989583
21,0.136363636,0.104046243,0.246808511,0.731861199,0.791666667,0.196382429
22,0.355263158,0.17704918,0.526123937,0.76366843,0.206521739,0.097435897
Mean,0.217263028,0.144983218,0.303092972,0.749805288,0.646261579,0.175497812
