Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.675619835,0.225517241,0.472292191,0.110554245,0.769631648,0.9755292
2,0.555012225,0.227,0.386982249,0.114335664,0.842449313,0.971782032
3,0.60968661,0.258454106,0.319892473,0.121863799,0.871631759,0.969753622
4,0.49068323,0.276223776,0.235576923,0.127383016,0.923810084,0.968243202
5,0.570397112,0.228323699,0.311036789,0.105681818,0.872418301,0.972673614
6,0.598885794,0.264127764,0.336434109,0.119296317,0.85816248,0.968567367
7,0.551470588,0.201342282,0.357933579,0.116726835,0.85115304,0.971291866
8,0.54368932,0.19343696,0.353413655,0.117962466,0.864335096,0.972456076
9,0.536480687,0.21043771,0.445783133,0.124509254,0.793936731,0.969160633
10,0.546558704,0.202702703,0.455769231,0.112589074,0.778368271,0.969596665
11,0.67953668,0.221662469,0.495215311,0.100631988,0.777703605,0.981111646
12,0.641975309,0.211668928,0.358139535,0.1,0.828139754,0.975962609
13,0.50887574,0.267912773,0.264094955,0.121751026,0.905228372,0.96757916
14,0.59,0.254859611,0.375796178,0.100254885,0.817267393,0.969827586
15,0.612244898,0.239520958,0.484567901,0.113030958,0.735891648,0.965595808
16,0.70718232,0.224561404,0.533101045,0.102891728,0.698024289,0.980397149
17,0.788461538,0.149817296,0.549488055,0.082733813,0.507177033,0.979509843
18,0.48,0.248962656,0.358361775,0.133248731,0.876894525,0.968403074
19,0.817460317,0.11406423,0.28125,0.057220708,0.390226374,0.961913198
20,0.62295082,0.186732187,0.492822967,0.078866769,0.658307945,0.973656846
21,0.515151515,0.222222222,0.430555556,0.134199134,0.832285115,0.969474969
22,0.597826087,0.168711656,0.6125,0.08558952,0.395813048,0.973652695
Mean,0.601824969,0.218102847,0.4050458,0.108241898,0.765857083,0.971642675
