Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0,0,0.640373121,1
2,0,0,0,0,0.802991945,1
3,0,0,0,0,0.83795395,1
4,0,0,0,0,0.901907882,1
5,0,0,0,0,0.838881792,1
6,0,0,0,0,0.821944706,1
7,0,0,0,0,0.811998574,1
8,0,0,0,0,0.833425262,1
9,0,0,0,0,0.742772789,1
10,0,0,0,0,0.726959518,1
11,0,0,0,0,0.624729186,1
12,0,0,0,0,0.725910385,1
13,0,0,0,0,0.88154409,1
14,0,0,0,0,0.775878443,1
15,0,0,0,0,0.678959627,1
16,0,0,0,0,0.526315789,1
17,0,0,0,0,0.36441854,1
18,0,0,0,0,0.846153846,1
19,0,0,0,0,0.255789474,1
20,0,0,0,0,0.537102473,1
21,0,0,0,0,0.805792796,1
22,0,0,0,0,0.272463768,1
Mean,0,0,0,0,0.693375816,1
