Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.590460526,0.298917569,0.462483311,0.868605817,0.961260248,0.810407914
2,0.519031142,0.401069519,0.445387353,0.901884701,0.9688,0.579564489
3,0.567951318,0.462809917,0.427250941,0.901734104,0.978933214,0.597374179
4,0.504830918,0.423076923,0.191428057,0.885833333,0.595238095,0.005793743
5,0.493362832,0.458847737,0.37533308,0.881932021,0.973770492,0.284892086
6,0.571428571,0.318114875,0.461806902,0.896162528,0.978645516,0.820320491
7,0.496470588,0.382246377,0.413836478,0.908839779,0.977495672,0.58313253
8,0.5,0.426799007,0.420804795,0.901834862,0.955654102,0.263125763
9,0.550684932,0.476303318,0.457539887,0.890781563,0.974866717,0.581553839
10,0.5,0.348888889,0.460696517,0.897286822,0.973101952,0.712742294
11,0.618012422,0.334453782,0.476340694,0.871153846,0.974897307,0.85938443
12,0.662576687,0.349514563,0.464933791,0.893496701,0.9770365,0.838067593
13,0.489361702,0.387205387,0.217406143,0.883495146,0.714285714,0.006918819
14,0.590747331,0.439153439,0.497884344,0.901660281,0.981227803,0.77082503
15,0.570866142,0.394021739,0.469992769,0.887978142,0.962136579,0.705853175
16,0.672413793,0.297142857,0.497794118,0.880364109,0.966518758,0.862801584
17,0.698412698,0.115789474,0.439376443,0.786157025,0.894230769,0.846153846
18,0.56097561,0.412556054,0.32594086,0.909943715,0.96,0.07415036
19,0.739130435,0.02367688,0.380645161,0.744010088,0.766502463,0.722376973
20,0.595628415,0.348242812,0.542613636,0.868181818,0.960614152,0.815759637
21,0.557522124,0.431506849,0.385167464,0.896935933,0.941860465,0.152830189
22,0.694915254,0.296028881,0.551339286,0.893309222,0.929022082,0.7200489
Mean,0.579308338,0.355743948,0.425727365,0.879617344,0.925731755,0.573367176
