Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.694690265,0.09974587,0.264673715,0.249742002,0.825002968,0.906351898
2,0.639484979,0.139122316,0.284765769,0.322472849,0.891996445,0.916971195
3,0.659898477,0.161691542,0.266196562,0.321447578,0.902287032,0.914655717
4,0.540540541,0.178041543,0.172769469,0.313964386,0.950184502,0.915004585
5,0.712328767,0.143448276,0.244374673,0.338160753,0.916655473,0.919681962
6,0.822033898,0.106945976,0.226793778,0.239153439,0.86606817,0.911717249
7,0.727891156,0.135614702,0.260393873,0.324471711,0.894245351,0.914761594
8,0.547826087,0.114754098,0.257055215,0.313153961,0.904267685,0.915056293
9,0.503401361,0.210227273,0.292471686,0.355753647,0.900578292,0.89441131
10,0.666666667,0.083213773,0.259909032,0.278164117,0.864541063,0.909257189
11,0.672268908,0.105680317,0.251560549,0.269205077,0.864273373,0.910875063
12,0.76744186,0.086614173,0.129934841,0.218568665,0.82486905,0.790484505
13,0.528571429,0.209039548,0.170905392,0.267942584,0.940505878,0.91349481
14,0.540229885,0.163763066,0.274336283,0.303030303,0.885918513,0.897855694
15,0.505882353,0.164122137,0.298174442,0.295774648,0.8747978,0.901784225
16,0.771084337,0.109028961,0.169058016,0.237302977,0.76685036,0.773903743
17,0.742857143,0.02480916,0.192307692,0.209111277,0.571653543,0.747426218
18,0.490909091,0.219512195,0.216507177,0.323792487,0.937625444,0.908315884
19,0.8125,0.015169195,0.245173745,0.159347553,0.340519624,0.894049347
20,0.705882353,0.092544987,0.305960265,0.248387097,0.805499211,0.910805301
21,0.448275862,0.156626506,0.264108352,0.334285714,0.912850308,0.90084317
22,0.416666667,0.086705202,0.349417637,0.242774566,0.670107931,0.825433526
Mean,0.632606004,0.127564583,0.24531128,0.280273063,0.832331728,0.88605184
