Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0,0,0.097119502,0.191923077,0.773746983,0.714079801
2,0,0,0.06820623,0.181601525,0.849248425,0.731178176
3,0,0,0.060839586,0.179964007,0.853516217,0.714748064
4,0,0,0.035066746,0.179408767,0.924091442,0.725077613
5,0,0,0.050905756,0.176610979,0.87511253,0.726772242
6,0,0,0.08488126,0.203380282,0.820033655,0.711082098
7,0,0,0.066292435,0.189312977,0.845297505,0.723746919
8,0,0,0.055859803,0.175107296,0.86360881,0.718560861
9,0,0,0.07420223,0.174502712,0.852328274,0.738026286
10,0,0,0.078330658,0.187116564,0.823060942,0.721250126
11,0,0,0.087730253,0.213525836,0.819192036,0.718039773
12,0,0,0.144862437,0.177441541,0.822616861,0.850031639
13,0,0,0.043784206,0.19614711,0.915418502,0.720360527
14,0,0,0.097549255,0.207991803,0.840338927,0.733468677
15,0,0,0.079035874,0.164144354,0.824823102,0.729656572
16,0,0,0.21559633,0.179904306,0.773571429,0.875682232
17,0,0,0.382045929,0.146049481,0.607930407,0.943485086
18,0,0,0.052,0.205940594,0.907200907,0.719101124
19,0,0,0.342857143,0.068259386,0.458737053,0.980014276
20,0,0,0.111660777,0.179545455,0.741883552,0.702133062
21,0,0,0.045138889,0.124600639,0.864344262,0.723251029
22,0,0,0.306,0.194162437,0.656729901,0.817772778
Mean,0,0,0.11727115,0.177120051,0.805128715,0.760796316
