Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.07943537226681428,0.9953757225433526,0.0,0.0,1.0,6.000240009600384e-05
2,0.04729124236252546,0.9923076923076923,0.09090909090909091,0.000380517503805175,0.0,0.0
3,0.04119850187265917,0.9906432748538012,0.0,0.0,0.0,0.0
4,0.016301749689262835,0.9970760233918129,0.6666666666666666,0.0016474464579901153,1.0,5.163688939378292e-05
5,0.04154476301930954,0.9936386768447837,0.0,0.0,0.0,0.0
6,0.058269364968597345,0.9960238568588469,0.0,0.0,0.0,0.0
7,0.05045302221670597,0.9902557856272838,0.14285714285714285,0.0005959475566150178,0.0,0.0
8,0.03753753753753754,0.9812286689419796,0.09090909090909091,0.0006788866259334691,0.0,0.0
9,0.030930427493713327,0.9710526315789474,0.0,0.0,0.0,0.0
10,0.055327868852459015,0.9934296977660972,0.2857142857142857,0.0012099213551119178,0.0,0.0
11,0.06470722260195945,0.9988276670574443,0.0,0.0,0.0,0.0
12,0.0645282451923077,0.9942129629629629,0.0,0.0,0.0,0.0
13,0.017867325603497432,0.9894736842105263,0.0,0.0,0.0,0.0
14,0.033297758804695834,0.9842271293375394,0.375,0.0025380710659898475,0.0,0.0
15,0.03596077006901562,0.9769736842105263,0.0,0.0,0.0,0.0
16,0.08559553188725809,0.9969742813918305,0.5,0.0015325670498084292,0.0,0.0
17,0.16485743233463598,1.0,0.0,0.0,1.0,0.00023282887077997672
18,0.014093137254901961,0.9663865546218487,0.3333333333333333,0.0032520325203252032,0.0,0.0
19,0.2026095060577819,1.0,0.0,0.0,0.0,0.0
20,0.07233524604416623,0.9928400954653938,0.0,0.0,0.0,0.0
21,0.02446808510638298,0.9787234042553191,0.0,0.0,0.0,0.0
22,0.06209652628343068,0.9901960784313726,0.0,0.0,0.0,0.0
