Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.6759946949602123,1.0
2,0.0,0.0,0.0,0.0,0.7378004951681175,1.0
3,0.0,0.0,0.0,0.0,0.7426439131054808,1.0
4,0.0,0.0,0.0,0.0,0.7968379828844945,1.0
5,0.0,0.0,0.0,0.0,0.746026717355721,1.0
6,0.0,0.0,0.0,0.0,0.7266947960618847,1.0
7,0.0,0.0,0.0,0.0,0.7478156071105755,1.0
8,0.0,0.0,0.0,0.0,0.7624237705981575,1.0
9,0.0,0.0,0.0,0.0,0.7330397912589693,1.0
10,0.0,0.0,0.0,0.0,0.711152141802068,1.0
11,0.0,0.0,0.0,0.0,0.7136953955135773,1.0
12,0.0,0.0,0.0,0.0,0.7330486637708901,1.0
13,0.0,0.0,0.0,0.0,0.7774028728429577,1.0
14,0.0,0.0,0.0,0.0,0.746097587599607,1.0
15,0.0,0.0,0.0,0.0,0.6633066994468346,1.0
16,0.0,0.0,0.0,0.0,0.7374832500913632,1.0
17,0.0,0.0,0.0,0.0,0.6360127761511845,1.0
18,0.0,0.0,0.0,0.0,0.7629454861542282,1.0
19,0.0,0.0,0.0,0.0,0.6767264335167762,1.0
20,0.0,0.0,0.0,0.0,0.7011355815554026,1.0
21,0.0,0.0,0.5,0.0014705882352941176,0.7625139043381535,1.0
22,0.0,0.0,0.0,0.0,0.568295739348371,1.0
