Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.6963348436588758,1.0
2,0.0,0.0,0.0,0.0,0.8034879610353902,1.0
3,0.0,0.0,1.0,0.000286368843069874,0.8033694682997794,1.0
4,0.0,0.0,0.0,0.0,0.8593136094674556,1.0
5,0.0,0.0,0.0,0.0,0.8146260272547592,1.0
6,0.0,0.0,0.5,0.00033422459893048126,0.7934674477727424,1.0
7,0.0,0.0,0.0,0.0,0.8164317024049283,1.0
8,0.0,0.0,0.0,0.0,0.8251824350275253,1.0
9,0.0,0.0,0.0,0.0,0.7903894625579315,1.0
10,0.0,0.0,0.0,0.0,0.7367164179104477,1.0
11,0.0,0.0,0.0,0.0,0.7315875613747954,1.0
12,0.0,0.0,0.0,0.0,0.7552899250129927,1.0
13,0.0,0.0,0.0,0.0,0.8484504913076342,1.0
14,0.0,0.0,0.0,0.0,0.8003863490019317,1.0
15,0.0,0.0,0.0,0.0,0.6900124843945069,1.0
16,0.0,0.0,1.0,0.0007117437722419929,0.7562879444926279,1.0
17,0.0,0.0,0.0,0.0,0.6421881362834261,1.0
18,0.0,0.0,0.0,0.0,0.8310064343814496,1.0
19,0.0,0.0,0.0,0.0,0.6683910096325366,1.0
20,0.0,0.0,0.0,0.0,0.7192374350086655,1.0
21,0.0,0.0,0.5,0.002008032128514056,0.8326063249727372,1.0
22,0.0,0.0,0.0,0.0,0.5847971893963589,1.0
