Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.0,0.0,0.0,0.0,0.83843277687082,1.0
2,0.0,0.0,0.0,0.0,0.8881707430484516,1.0
3,0.0,0.0,0.0,0.0,0.9024642896085486,1.0
4,0.0,0.0,0.0,0.0,0.9337336244541484,1.0
5,0.0,0.0,0.0,0.0,0.8937602328542842,1.0
6,0.0,0.0,0.0,0.0,0.8848008307989021,1.0
7,0.0,0.0,0.0,0.0,0.886176554073233,1.0
8,0.0,0.0,0.0,0.0,0.9024925078576127,1.0
9,0.0,0.0,0.0,0.0,0.8474559394603206,1.0
10,0.0,0.0,0.0,0.0,0.855398569684284,1.0
11,0.0,0.0,0.0,0.0,0.8451901173996846,1.0
12,0.0,0.0,0.0,0.0,0.8612752447305759,1.0
13,0.0,0.0,0.0,0.0,0.9247102155779439,1.0
14,0.0,0.0,0.0,0.0,0.8625165562913907,1.0
15,0.0,0.0,0.0,0.0,0.8490262117440328,1.0
16,0.0,0.0,0.0,0.0,0.7680137575236458,1.0
17,0.0,0.0,0.0,0.0,0.7208176438945669,1.0
18,0.0,0.0,0.0,0.0,0.8898818103199769,1.0
19,0.0,0.0,0.0,0.0,0.601438304314913,1.0
20,0.0,0.0,0.0,0.0,0.7605221697051542,1.0
21,0.0,0.0,0.0,0.0,0.8797319932998325,1.0
22,0.0,0.0,0.0,0.0,0.6679841897233202,1.0
