Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.8034807831762146,0.5061671996345363,0.0,0.0,0.837815078874979,0.9957963568425969
2,0.7432432432432432,0.4984008528784648,0.0,0.0,0.8853233585982873,0.9951316662978535
3,0.7650429799426934,0.5368632707774799,0.0,0.0,0.8853638400754806,0.9953593211349775
4,0.6377396569122099,0.55584872471416,0.0,0.0,0.9364061005121279,0.9897097311444206
5,0.7276995305164319,0.5111294311624073,0.0,0.0,0.9071000315556959,0.9957738672578634
6,0.8242424242424242,0.49026676279740444,0.0,0.0,0.8739077007099946,0.9970402679336396
7,0.7393867924528302,0.5377358490566038,0.0,0.0,0.9018211191070642,0.9940909826776753
8,0.7170971709717097,0.5616570327552987,0.0,0.0,0.9110266761655981,0.9930112165660052
9,0.7622377622377622,0.5767195767195767,0.0,0.0,0.8778247096092925,0.9936648338513029
10,0.766412213740458,0.490234375,0.0,0.0,0.8699623858140785,0.9965121050471891
11,0.8204419889502762,0.5375565610859728,0.0,0.0,0.8600018703824932,0.9973969631236442
12,0.7994505494505495,0.5065274151436031,0.0,0.0,0.8650658543141295,0.9947455182361425
13,0.625,0.5296950240770465,0.0,0.0,0.9223560910307899,0.9900610705304754
14,0.7970204841713222,0.5169082125603864,0.0,0.0,0.8642322097378277,0.9955315870570108
15,0.8023032629558541,0.4994026284348865,0.0,0.0,0.830089342693044,0.9946472949722807
16,0.7917448405253283,0.5459249676584734,0.0,0.0,0.7386215864759428,0.9850849809226501
17,0.73767258382643,0.4230769230769231,0.0,0.0,0.4988235294117647,0.9443207126948775
18,0.6017897091722595,0.5104364326375711,0.0,0.0,0.9125373134328358,0.9880413703943116
19,0.6674816625916871,0.38288920056100983,0.0,0.0,0.47096032202415183,0.8960612691466083
20,0.7772020725388601,0.5405405405405406,0.0,0.0,0.8217293078660916,0.9955212739487435
21,0.7321428571428571,0.6142322097378277,0.0,0.0,0.910139030179722,0.9907715023994094
22,0.8153310104529616,0.5416666666666666,0.0,0.0,0.6425834701696771,0.9865546218487395
