Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.5133333333333333,0.7236842105263158,0.25,0.0010723860589812334,0.8579321892005023,0.935036496350365
2,0.40006763611768686,0.7711864406779662,0.35714285714285715,0.003190810465858328,0.936816921320211,0.9434861179563003
3,0.4215859030837004,0.7774167343623071,0.6,0.0021474588403722263,0.9259948468365302,0.9499963286584918
4,0.2422051513782196,0.7549295774647887,0.25,0.0033370411568409346,0.9642835632114678,0.9297868633486265
5,0.39076630176106614,0.7497716894977169,0.25,0.00076103500761035,0.9223077533529085,0.945108563064162
6,0.4649874055415617,0.7491883116883117,0.5,0.004528985507246377,0.9238707494501777,0.951310861423221
7,0.4701492537313433,0.7639925373134329,0.25,0.0021231422505307855,0.9245301298198023,0.9487969775303241
8,0.44389027431421446,0.775599128540305,0.42857142857142855,0.003157894736842105,0.9265129682997119,0.9516862247594883
9,0.5386329866270431,0.7536382536382537,0.25,0.0011792452830188679,0.8753032508491024,0.945657871745588
10,0.47173366834170855,0.74800796812749,0.5833333333333334,0.006782945736434108,0.8985871647509579,0.94760101010101
11,0.5589970501474927,0.6973321067157314,0.16666666666666666,0.0011037527593818985,0.8653651482284888,0.9522597071928708
12,0.5325779036827195,0.7127962085308057,0.3333333333333333,0.0021598272138228943,0.8731492027334852,0.9492338647268225
13,0.2760540970564837,0.7676991150442478,0.25,0.0019157088122605363,0.9526373929853632,0.9163235489440829
14,0.4904513888888889,0.7803867403314917,0.4,0.002962962962962963,0.9057637906647807,0.9462504617657924
15,0.5552677029360967,0.7511682242990654,0.2857142857142857,0.002638522427440633,0.8365225608315615,0.9357822410147991
16,0.6432212028542303,0.7244546498277842,0.2,0.0017482517482517483,0.8333333333333334,0.9509107749305341
17,0.6278229448961157,0.6644359464627151,0.2,0.0012787723785166241,0.7265234030026494,0.9205520328235733
18,0.3448275862068966,0.7322654462242563,0.5,0.005376344086021506,0.927906552290564,0.9383536360280547
19,0.6959826275787188,0.6302851524090463,0.5,0.0026666666666666666,0.732685297691373,0.9045
20,0.587696335078534,0.7172523961661342,0.0,0.0,0.8248429867411026,0.9392133492252682
21,0.4376321353065539,0.7392857142857143,0.0,0.0,0.906986712387484,0.9505840071877808
22,0.5794871794871795,0.7004132231404959,0.0,0.0,0.8075235109717869,0.9083215796897038
