Chrom,Promoter_Precision,Promoter_Recall,Enhancer_Precision,Enhancer_Recall,Weak_Precision,Weak_Recall
1,0.6099173553719008,0.34198331788693237,0.39147286821705424,0.8691910499139415,0.9678456591639871,0.7646386383843515
2,0.546875,0.4743975903614458,0.3644761150699393,0.9079552925706772,0.9772,0.522008547008547
3,0.5740365111561866,0.522140221402214,0.3560555923229649,0.9026845637583892,0.9847601972209772,0.5476071784646062
4,0.5857843137254902,0.5117773019271948,0.145010395010395,0.8857142857142857,0.5609756097560976,0.0047826991058432106
5,0.5299334811529933,0.5407239819004525,0.3035190615835777,0.8893662728249194,0.980327868852459,0.24751655629139072
6,0.6005291005291006,0.3679092382495948,0.37485757690846944,0.9021937842778793,0.984136668700427,0.7783496863438958
7,0.5364705882352941,0.44793713163064836,0.33809135399673734,0.9099890230515917,0.9821119446047317,0.5335423197492163
8,0.5552325581395349,0.4973958333333333,0.33606893721789083,0.9089900110987791,0.9689578713968958,0.22444786851566512
9,0.6027397260273972,0.5472636815920398,0.373697270471464,0.8985680190930787,0.9809596344249809,0.525071341214839
10,0.5288461538461539,0.41457286432160806,0.38697318007662834,0.9068462401795735,0.9817787418655097,0.6624707259953162
11,0.6448598130841121,0.3905660377358491,0.41581632653061223,0.8716577540106952,0.9794614331355546,0.825702193151212
12,0.6687116564417178,0.3970856102003643,0.385830540928674,0.8896247240618101,0.9813874788494078,0.7965469884245635
13,0.5879828326180258,0.5310077519379846,0.15758564437194128,0.8765880217785844,0.6666666666666666,0.005577689243027889
14,0.5907473309608541,0.48255813953488375,0.4268209666439755,0.9034582132564841,0.9852866565195332,0.7238166231830041
15,0.5833333333333334,0.4481707317073171,0.40125610607117934,0.8846153846153846,0.9716024340770791,0.6573650503202195
16,0.6782608695652174,0.3586206896551724,0.4825124910778016,0.8894736842105263,0.9721661960467931,0.8267581475128645
17,0.696,0.14380165289256197,0.43858665171060013,0.791497975708502,0.9003496503496503,0.7913945447560508
18,0.6158536585365854,0.5401069518716578,0.2432258064516129,0.9150485436893204,0.9733333333333334,0.06134453781512605
19,0.7391304347826086,0.03136531365313653,0.39119496855345914,0.755771567436209,0.7832512315270936,0.6294536817102138
20,0.5824175824175825,0.4,0.4944954128440367,0.8651685393258427,0.9686248331108144,0.7709883103081828
21,0.672566371681416,0.5170068027210885,0.3132947976878613,0.9217687074829932,0.9529411764705882,0.1302250803858521
22,0.6864406779661016,0.3537117903930131,0.5259179265658748,0.8985239852398524,0.9384858044164038,0.6560088202866593
